0	0	873
0	1	874
0	2	875
0	3	876
0	4	877
0	5	878
0	6	879
0	7	880
0	8	881
0	9	882
0	10	883
0	11	884
0	12	885
0	13	886
0	14	887
0	15	888
1	0	889
1	1	890
1	2	875
1	3	891
1	4	892
1	5	893
1	6	879
1	7	894
1	8	895
1	9	896
1	10	897
1	11	898
1	12	899
1	16	900
1	13	901
1	14	902
1	15	903
1	17	904
1	18	905
1	19	906
1	20	907
1	21	908
1	22	909
2	0	910
2	1	911
2	2	875
2	3	891
2	4	877
2	5	912
2	6	913
2	7	914
2	8	915
2	9	916
2	10	883
2	11	898
2	12	917
2	13	918
3	0	919
3	1	920
3	2	875
3	3	891
3	4	921
3	5	922
3	6	923
3	7	924
3	8	925
3	9	926
3	10	927
3	11	928
3	12	929
4	0	910
4	1	930
4	2	875
4	3	891
4	4	877
4	5	912
4	6	913
4	7	914
4	8	931
4	9	932
4	10	883
4	11	933
4	12	934
4	13	901
5	0	919
5	1	935
5	2	936
5	3	937
5	4	938
5	5	939
5	6	940
5	7	894
5	8	941
5	9	932
5	10	942
5	11	943
5	12	944
5	16	900
5	13	945
5	14	946
5	15	947
5	17	948
5	18	949
5	19	950
5	20	951
5	21	908
5	22	952
6	0	910
6	1	953
6	2	954
6	3	955
6	4	956
6	5	957
6	6	958
6	7	894
6	8	895
6	9	959
6	10	960
6	11	961
6	12	929
6	16	962
6	13	918
6	14	963
6	15	964
6	17	965
6	18	966
6	19	967
6	20	968
6	21	969
6	22	970
7	0	889
7	1	971
7	2	954
7	3	891
7	4	972
7	5	973
7	6	974
7	7	914
7	8	941
7	9	896
7	10	975
7	11	933
7	12	917
7	16	976
7	13	977
7	14	887
7	15	978
7	17	965
7	18	966
7	19	979
7	20	980
7	21	981
7	22	982
8	0	919
8	1	983
8	2	954
8	3	891
8	5	984
8	6	940
8	7	894
8	8	985
8	9	986
8	10	987
8	11	988
8	12	885
8	16	900
8	13	901
8	14	989
8	15	990
8	17	904
8	18	991
8	19	992
8	20	968
8	21	993
8	22	994
9	0	889
9	1	995
9	2	954
9	3	937
9	4	972
9	5	922
9	6	996
9	7	894
9	8	881
9	9	997
9	10	998
9	11	999
9	12	1000
9	16	1001
9	13	886
9	14	1002
9	15	1003
9	17	1004
9	18	991
9	19	992
9	20	968
9	21	993
9	22	1005
10	0	910
10	1	1006
10	2	954
10	3	1007
10	4	1008
10	5	1009
10	6	923
10	7	914
10	8	985
10	9	882
10	10	1010
10	11	898
10	12	885
10	16	976
10	13	886
10	14	887
10	15	978
10	17	965
10	18	966
10	19	1011
10	20	1012
10	21	981
10	22	970
11	0	873
11	1	1013
11	2	1014
11	3	1015
11	4	1016
11	16	1017
11	13	886
11	14	1018
11	15	978
11	17	965
11	18	966
11	19	1019
11	20	1020
11	21	981
11	22	1021
12	0	919
12	1	1022
12	2	1014
12	3	891
12	4	877
12	5	878
12	6	940
12	7	880
12	8	1023
12	9	997
12	10	1024
12	11	884
12	12	1000
12	16	900
12	13	886
12	14	1025
12	15	903
12	17	904
12	18	991
12	19	1026
12	20	1027
12	21	908
12	22	1028
13	0	910
13	1	1029
13	2	1014
13	3	876
13	4	892
13	5	984
13	6	913
13	7	880
13	8	895
13	9	896
13	10	1030
13	11	1031
13	12	1000
13	16	1017
13	13	918
13	14	1032
13	15	888
13	17	965
13	18	966
13	19	1033
13	20	951
13	21	1034
13	22	1035
14	0	1036
14	1	1037
14	2	1038
14	3	876
14	4	1039
14	5	912
14	6	913
14	7	894
15	0	1036
15	1	1040
15	2	1038
15	3	1041
15	4	1042
15	5	1043
15	6	1044
15	7	924
15	8	895
15	9	1045
15	10	1024
15	11	1031
15	12	885
15	16	1046
15	13	1047
15	14	978
15	15	1048
15	17	1049
15	18	966
15	19	1050
15	20	907
15	21	1051
15	22	909
16	0	910
16	1	1052
16	2	1053
16	3	1054
16	4	938
16	16	1055
16	13	1056
16	14	1057
16	15	1058
16	17	1059
16	18	1060
16	19	1011
16	20	1061
16	21	1062
16	22	1063
17	0	889
17	1	1064
17	2	1053
17	3	1065
17	4	892
17	16	962
17	13	901
17	14	978
17	15	1066
17	17	904
17	18	1067
17	19	950
17	20	1068
17	21	993
17	22	952
18	0	910
18	1	1069
18	2	1053
18	3	1065
18	4	938
19	0	919
19	1	1070
19	2	1053
19	3	1071
19	4	921
20	0	919
20	1	1072
20	2	1053
20	3	1015
20	4	1073
21	0	919
21	1	1074
21	2	1053
21	3	1075
21	4	1008
22	0	873
22	1	1076
22	2	1077
22	5	1078
22	6	1079
22	7	894
22	8	1080
22	9	896
22	10	1081
22	11	943
22	12	1082
22	16	1083
22	13	1084
22	14	887
22	15	978
22	17	1085
22	18	1067
22	19	1086
22	20	1087
22	21	981
22	22	1088
23	0	1089
23	1	1090
23	2	1077
23	3	1091
23	4	1092
23	16	1083
23	13	1093
